,,,Place,Place,Division,Division,Division,Margin,Margin,Month,Month
Rk,Team,Overall,Home,Road,C,E,W,≤3,≥10,Mar,Apr
1,Minneapolis Lakers,10-2,6-0,5-2,5-0,4-2,2-0,2-0,6-0,5-0,6-2
2,Syracuse Nationals,6-5,5-1,1-4,2-4,4-1,,0-1,2-2,3-1,3-4
3,Anderson Packers,4-4,3-1,1-3,0-2,,4-2,1-2,3-2,3-2,1-2
4,Indianapolis Olympians,3-3,3-1,0-2,,,3-3,2-1,0-2,3-2,0-1
5,New York Knicks,3-2,2-0,1-2,,3-2,,1-0,1-1,3-1,0-1
6,Fort Wayne Pistons,2-2,2-1,1-1,3-2,,,1-0,1-1,3-2,
7,Sheboygan Red Skins,1-2,1-0,0-2,,,1-2,0-1,1-0,1-2,
8,Tri-Cities Blackhawks,1-2,1-0,0-2,,,1-2,1-0,0-2,1-2,
9,Chicago Stags,0-2,0-1,0-2,0-3,,,,0-2,0-3,
10,Philadelphia Warriors,0-2,0-1,0-1,,0-2,,,0-1,0-2,
11,Rochester Royals,0-2,0-2,0-1,0-3,,,0-2,,0-3,
12,Washington Capitols,0-2,0-1,0-1,,0-2,,0-1,0-1,0-2,
