,,,Place,Place,Conference,Conference,Division,Division,Division,Division,Margin,Margin,Month,Month
Rk,Team,Overall,Home,Road,E,W,A,C,M,P,≤3,≥10,Apr,May
1,Los Angeles Lakers,12-4,7-2,5-2,4-2,8-2,4-2,,,8-2,2-3,3-1,8-2,4-2
2,Philadelphia 76ers,12-6,7-2,5-4,10-2,2-4,6-1,4-1,,2-4,5-0,4-3,10-2,2-4
3,Seattle SuperSonics,7-8,4-4,3-4,,7-8,,,4-3,3-5,3-1,2-2,7-8,
4,Boston Celtics,5-4,3-2,2-2,5-4,,1-4,4-0,,,0-2,4-2,5-4,
5,Milwaukee Bucks,3-4,1-2,2-2,,3-4,,,,3-4,1-2,1-0,3-4,
6,Phoenix Suns,3-5,3-1,0-4,,3-5,,,2-1,1-4,1-2,2-2,3-5,
7,Houston Rockets,2-5,2-2,0-3,2-5,,0-4,2-1,,,,2-4,2-5,
8,Atlanta Hawks,1-4,1-1,0-3,1-4,,1-4,,,,0-1,1-1,1-4,
9,Kansas City Kings,1-2,1-0,0-2,,1-2,,,,1-2,0-1,1-1,1-2,
10,Portland Trail Blazers,1-2,1-0,0-2,,1-2,,,,1-2,,1-2,1-2,
11,San Antonio Spurs,1-2,1-0,0-2,1-2,,,1-2,,,,0-2,1-2,
12,Washington Bullets,0-2,0-1,0-1,0-2,,0-2,,,,,0-1,0-2,
