,,,Place,Place,Conference,Conference,Division,Division,Division,Division,Margin,Margin,Month,Month,Month
Rk,Team,Overall,Home,Road,E,W,A,C,M,P,≤3,≥10,Apr,May,Jun
1,Boston Celtics,15-8,12-1,3-7,11-5,4-3,7-4,4-1,,4-3,3-2,7-2,4-1,8-5,3-2
2,Los Angeles Lakers,14-7,9-2,5-5,3-4,11-3,3-4,,7-1,4-2,1-1,9-2,4-0,8-4,2-3
3,Phoenix Suns,9-8,5-3,4-5,,9-8,,,4-2,5-6,2-2,3-5,3-3,6-5,
4,Milwaukee Bucks,8-8,6-2,2-6,8-8,,5-6,3-2,,,1-1,4-2,3-3,5-5,
5,New York Knicks,6-6,4-1,2-5,6-6,,3-4,3-2,,,2-0,0-4,3-3,3-3,
6,New Jersey Nets,5-6,1-4,4-2,5-6,,3-2,2-4,,,1-1,2-1,4-2,1-4,
7,Utah Jazz,5-6,4-2,1-4,,5-6,,,3-2,2-4,1-1,3-3,4-2,1-4,
8,Dallas Mavericks,4-6,3-2,1-4,,4-6,,,,4-6,2-1,2-4,3-3,1-3,
9,Atlanta Hawks,2-3,2-0,0-3,2-3,,,2-3,,,1-0,0-3,2-3,,
10,Denver Nuggets,2-3,1-1,1-2,,2-3,,,2-3,,0-1,1-1,2-3,,
11,Detroit Pistons,2-3,1-2,1-1,2-3,,2-3,,,,0-1,,2-3,,
12,Philadelphia 76ers,2-3,0-3,2-0,2-3,,2-3,,,,0-1,0-2,2-3,,
13,Portland Trail Blazers,2-3,1-2,1-1,,2-3,,,,2-3,1-1,0-1,2-3,,
14,Seattle SuperSonics,2-3,1-1,1-2,,2-3,,,2-3,,1-2,1-1,2-3,,
15,Washington Bullets,1-3,1-1,0-2,1-3,,1-3,,,,1-2,,1-3,,
16,Kansas City Kings,0-3,0-1,0-2,,0-3,,,,0-3,,0-1,0-3,,
