,,,Place,Place,Place,Division,Division,Division,Margin,Margin,Month,Month,Month,Month,Month,Month
Rk,Team,Overall,Home,Road,Neutral,C,E,W,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar
1,Minneapolis Lakers,51-17,30-1,18-16,3-0,16-8,26-6,9-3,5-5,38-8,,9-4,11-6,13-3,12-1,6-3
2,Rochester Royals,51-17,33-1,17-16,1-0,15-9,26-6,10-2,9-4,27-8,,8-4,11-4,12-5,12-4,8-0
3,Syracuse Nationals,51-13,31-1,15-12,5-0,7-3,9-1,35-9,7-4,29-6,,13-1,11-3,9-3,11-4,7-2
4,Chicago Stags,40-28,18-6,14-21,8-1,11-13,20-12,9-3,10-5,18-15,,11-4,9-8,6-4,8-7,6-5
5,Fort Wayne Pistons,40-28,28-6,12-22,,14-10,17-15,9-3,9-6,19-14,,7-5,10-6,9-8,9-5,5-4
6,New York Knicks,40-28,19-10,18-16,3-2,12-18,20-6,8-4,8-7,19-13,,11-7,9-5,8-5,7-5,5-6
7,Indianapolis Olympians,39-25,24-7,12-16,3-2,5-5,8-11,26-9,6-3,23-15,,8-8,9-5,10-3,5-8,7-1
8,Anderson Packers,37-27,22-9,12-18,3-0,5-5,7-10,25-12,5-8,23-10,,9-3,8-6,7-9,7-5,6-4
9,Washington Capitols,32-36,21-13,10-20,1-3,13-17,13-13,6-6,6-5,18-16,,7-6,7-8,9-8,3-10,6-4
10,Tri-Cities Blackhawks,29-35,20-13,6-20,3-2,1-9,8-9,20-17,2-8,14-16,1-0,3-11,4-8,9-5,8-7,4-4
11,Philadelphia Warriors,26-42,15-15,8-23,3-4,9-21,9-17,8-4,8-7,13-22,,5-9,5-10,6-8,5-11,5-4
12,St. Louis Bombers,26-42,17-14,7-26,2-2,4-20,14-18,8-4,2-9,15-24,,7-8,6-8,5-9,4-9,4-8
13,Baltimore Bullets,25-43,16-15,8-25,1-3,11-19,8-18,6-6,4-4,9-27,,5-8,6-10,5-9,6-9,3-7
14,Sheboygan Red Skins,22-40,17-14,5-22,0-4,2-8,5-12,15-20,6-4,9-26,,7-4,4-8,5-12,3-9,3-7
15,Boston Celtics,22-46,12-14,5-28,5-4,5-25,11-15,6-6,1-5,15-22,,4-11,7-6,4-10,6-9,1-10
16,Waterloo Hawks,19-43,16-15,2-22,1-6,2-8,4-13,13-22,4-5,11-27,,4-11,3-11,4-11,5-8,3-2
17,Denver Nuggets,11-51,9-16,1-25,1-10,0-10,3-14,8-27,1-4,6-37,0-1,1-15,2-10,3-12,5-5,0-8
