,,,Place,Place,Place,Division,Division,All-Star,All-Star,Margin,Margin,Month,Month,Month,Month,Month
Rk,Team,Overall,Home,Road,Neutral,E,W,Pre,Post,≤3,≥10,Nov,Dec,Jan,Feb,Mar
1,Rochester Royals,41-25,28-5,12-18,1-2,19-11,22-14,30-17,11-8,8-7,19-11,9-4,11-4,7-7,9-5,5-5
2,Minneapolis Lakers,40-26,21-5,13-20,6-1,16-14,24-12,31-18,9-8,4-12,28-6,9-3,7-7,13-5,6-8,5-3
3,Syracuse Nationals,40-26,26-7,12-18,2-1,21-15,19-11,32-15,8-11,5-9,18-4,10-3,7-8,12-2,6-8,5-5
4,Boston Celtics,39-27,22-7,10-19,7-1,22-14,17-13,26-20,13-7,6-9,21-10,9-4,8-6,6-7,9-6,7-4
5,New York Knicks,37-29,21-4,12-22,4-3,23-13,14-16,26-24,11-5,12-9,11-11,6-8,8-7,8-7,9-4,6-3
6,Indianapolis Olympians,34-32,25-6,4-24,5-2,16-14,18-18,25-24,9-8,3-4,13-16,6-7,9-4,7-11,9-6,3-4
7,Philadelphia Warriors,33-33,24-7,6-25,3-1,14-22,19-11,21-27,12-6,12-3,12-16,5-9,7-6,7-7,10-7,4-4
8,Fort Wayne Pistons,29-37,22-11,6-24,1-2,12-18,17-19,22-28,7-9,6-6,12-19,3-10,7-9,9-6,6-8,4-4
9,Baltimore Bullets,20-46,17-15,2-22,1-9,10-26,10-20,15-33,5-13,7-4,6-28,5-7,6-11,1-10,5-12,3-6
10,Milwaukee Hawks,17-49,8-13,3-22,6-14,8-22,9-27,14-36,3-13,8-8,6-25,3-10,4-12,3-11,5-10,2-6
