,,,Place,Place,Place,Division,Division,All-Star,All-Star,Margin,Margin,Month,Month,Month,Month,Month,Month
Rk,Team,Overall,Home,Road,Neutral,E,W,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar
1,Fort Wayne Pistons,43-29,21-6,8-14,14-9,15-21,28-8,26-13,17-16,12-3,21-11,2-0,8-4,11-4,10-9,10-7,2-5
2,Syracuse Nationals,43-29,25-7,10-17,8-5,21-15,22-14,21-17,22-12,14-9,14-12,0-1,9-3,8-9,8-8,12-5,6-3
3,Minneapolis Lakers,40-32,18-6,10-14,12-12,22-14,18-18,20-19,20-13,12-13,14-8,1-1,4-3,10-7,10-10,10-8,5-3
4,New York Knicks,38-34,17-9,8-17,13-8,15-21,23-13,19-19,19-15,12-12,10-9,1-0,5-6,8-8,9-9,9-8,6-3
5,Boston Celtics,36-36,21-5,4-22,11-9,19-17,17-19,21-16,15-20,7-6,14-15,0-2,5-5,9-7,11-7,7-9,4-6
6,Philadelphia Warriors,33-39,14-4,6-20,13-15,17-19,16-20,15-20,18-19,8-14,9-10,,4-3,7-10,7-12,12-8,3-6
7,Rochester Royals,29-43,17-11,4-19,8-13,15-21,14-22,15-21,14-22,13-16,7-12,1-0,3-7,6-8,11-9,5-15,3-4
8,Milwaukee Hawks,26-46,6-11,9-16,11-19,14-22,12-24,13-25,13-21,7-12,10-22,0-1,2-9,4-10,10-12,6-11,4-3
9,Baltimore Bullets,0-0,,,,,,,,,,,,,,,
