,,,Place,Place,Place,Conference,Conference,Division,Division,Division,Division,All-Star,All-Star,Margin,Margin,Month,Month,Month,Month,Month,Month
Rk,Team,Overall,Home,Road,Neutral,E,W,A,C,M,P,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar
1,Boston Celtics,68-14,33-6,32-8,3-0,38-8,30-6,18-4,20-4,11-5,19-1,39-7,29-7,7-5,33-3,9-0,9-3,11-3,12-3,12-4,15-1
2,Los Angeles Lakers,60-22,30-11,28-11,2-0,20-12,40-10,10-6,10-6,18-6,22-4,36-11,24-11,6-3,37-7,7-3,12-0,10-4,11-4,9-7,11-4
3,Milwaukee Bucks,60-22,33-5,25-15,2-2,22-10,38-12,11-5,11-5,15-5,23-7,36-13,24-9,7-7,38-6,8-1,8-5,12-5,9-4,10-7,13-0
4,New York Knicks,57-25,35-6,21-18,1-1,33-13,24-12,16-6,17-7,10-6,14-6,39-12,18-13,12-7,34-9,8-1,12-3,11-6,12-3,8-5,6-7
5,Baltimore Bullets,52-30,24-9,21-17,7-4,31-15,21-15,14-10,17-5,7-9,14-6,30-17,22-13,10-5,25-12,4-5,7-7,10-4,12-2,9-6,10-6
6,Chicago Bulls,51-31,29-12,20-19,2-0,23-9,28-22,10-6,13-3,10-10,18-12,29-19,22-12,10-8,26-10,7-3,7-4,10-6,7-7,12-3,8-8
7,Golden State Warriors,47-35,27-14,18-20,2-1,21-11,26-24,11-5,10-6,12-12,14-12,31-16,16-19,7-8,22-13,6-2,9-5,8-5,10-8,7-7,7-8
8,Atlanta Hawks,46-36,28-13,17-23,1-0,25-21,21-15,15-9,10-12,7-9,14-6,27-24,19-12,13-10,12-16,4-6,6-7,12-4,7-9,8-4,9-6
9,Detroit Pistons,40-42,26-15,13-25,1-2,16-16,24-26,8-8,8-8,9-11,15-15,20-29,20-13,7-9,20-21,3-6,6-7,7-8,6-10,9-4,9-7
10,Phoenix Suns,38-44,22-19,15-25,1-0,16-16,22-28,8-8,8-8,8-16,14-12,23-26,15-18,8-9,12-18,3-4,7-9,9-6,6-8,7-9,6-8
11,Kansas City-Omaha Kings,36-46,24-17,12-29,,16-16,20-30,7-9,9-7,6-14,14-16,25-29,11-17,8-8,15-21,3-6,11-4,6-12,5-9,8-8,3-7
12,Houston Rockets,33-49,14-14,10-28,9-7,21-25,12-24,12-12,9-13,4-12,8-12,18-30,15-19,5-6,17-23,5-3,5-9,6-7,5-13,6-8,6-9
13,Cleveland Cavaliers,32-50,20-21,10-27,2-2,20-26,12-24,12-12,8-14,5-11,7-13,17-31,15-19,5-10,16-23,3-8,5-8,2-12,9-5,5-9,8-8
14,Seattle SuperSonics,26-56,16-25,10-29,0-2,9-23,17-33,5-11,4-12,8-16,9-17,16-36,10-20,7-17,6-29,4-5,4-13,4-11,5-9,4-11,5-7
15,Buffalo Braves,21-61,14-27,6-31,1-3,12-34,9-27,8-14,4-20,4-12,5-15,15-32,6-29,8-5,5-39,2-7,2-12,6-8,7-8,2-12,2-14
16,Portland Trail Blazers,21-61,13-28,8-32,0-1,11-21,10-40,6-10,5-11,4-20,6-20,12-38,9-23,7-9,8-30,1-8,5-8,3-14,4-10,3-11,5-10
17,Philadelphia 76ers,9-73,5-26,2-36,2-11,4-42,5-31,2-20,2-22,3-13,2-18,4-47,5-26,3-4,2-48,0-9,2-13,1-13,1-16,5-9,0-13
