,,,Place,Place,Conference,Conference,Division,Division,Division,Division,All-Star,All-Star,Margin,Margin,Month,Month,Month,Month,Month,Month,Month
Rk,Team,Overall,Home,Road,E,W,A,C,M,P,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Boston Celtics,60-22,28-13,32-9,34-12,26-10,17-9,17-3,12-4,14-6,26-14,34-8,10-8,28-8,3-4,8-6,10-3,13-1,10-4,13-4,3-0
2,Washington Bullets,60-22,36-5,24-17,32-14,28-8,10-6,22-8,13-3,15-5,29-12,31-10,8-7,35-11,7-1,9-5,10-3,10-4,11-4,9-4,4-1
3,Buffalo Braves,49-33,30-11,19-22,29-17,20-16,15-11,14-6,5-11,15-5,26-16,23-17,2-6,26-11,4-2,12-4,6-7,11-4,7-7,8-6,1-3
4,Golden State Warriors,48-34,31-10,17-24,20-16,28-18,10-6,10-10,9-7,19-11,27-13,21-21,10-9,25-16,4-2,11-4,8-6,7-7,6-8,11-6,1-1
5,Chicago Bulls,47-35,29-12,18-23,22-14,25-21,9-7,13-7,11-15,14-6,23-18,24-17,8-10,24-14,3-5,7-6,7-6,11-4,11-2,5-11,3-1
6,Kansas City-Omaha Kings,44-38,29-12,15-26,15-21,29-17,8-8,7-13,17-9,12-8,21-23,23-15,16-6,16-12,5-1,7-9,8-8,5-8,10-2,8-8,1-2
7,Seattle SuperSonics,43-39,24-16,19-23,17-19,26-20,7-9,10-10,8-8,18-12,19-22,24-17,14-5,14-18,4-3,7-9,5-7,7-7,7-8,9-5,4-0
8,Houston Rockets,41-41,29-12,12-29,21-25,20-16,5-11,16-14,11-5,9-11,20-20,21-21,4-4,21-19,4-3,7-7,8-5,5-10,9-6,7-9,1-1
9,Detroit Pistons,40-42,26-15,14-27,19-17,21-25,8-8,11-9,10-16,11-9,24-18,16-24,10-7,15-25,3-4,8-6,8-7,11-4,3-12,6-7,1-2
10,New York Knicks,40-42,23-18,17-24,22-24,18-18,9-17,13-7,6-10,12-8,22-18,18-24,5-7,18-18,4-3,9-5,6-7,7-8,4-10,8-7,2-2
11,Cleveland Cavaliers,40-42,29-12,11-30,23-23,17-19,6-10,17-13,7-9,10-10,20-18,20-24,13-10,14-18,4-4,7-4,7-6,4-12,10-6,7-9,1-1
12,Milwaukee Bucks,38-44,25-16,13-28,18-18,20-26,9-7,9-11,14-12,6-14,20-21,18-23,6-11,20-16,1-5,5-9,8-5,10-5,4-10,7-9,3-1
13,Portland Trail Blazers,38-44,29-13,9-31,16-20,22-24,6-10,10-10,6-10,16-14,18-21,20-23,9-11,18-19,3-4,9-6,3-9,7-8,4-10,9-7,3-0
14,Philadelphia 76ers,34-48,20-21,14-27,19-27,15-21,11-15,8-12,7-9,8-12,17-24,17-24,5-7,13-23,3-3,4-10,7-8,6-9,7-7,7-8,0-3
15,Phoenix Suns,32-50,22-19,10-31,13-23,19-27,5-11,8-12,7-9,12-18,16-23,16-27,5-11,12-16,3-3,6-9,6-6,5-9,8-6,3-15,1-2
16,Atlanta Hawks,31-51,22-19,9-32,14-32,17-19,3-13,11-19,6-10,11-9,17-26,14-25,3-10,14-19,3-4,6-8,6-9,6-11,3-9,7-8,0-2
17,Los Angeles Lakers,30-52,21-20,9-32,13-23,17-29,3-13,10-10,7-9,10-20,17-25,13-27,8-9,12-30,3-3,5-9,7-9,4-8,3-11,8-8,0-4
18,New Orleans Jazz,23-59,20-21,3-38,13-33,10-26,4-12,9-21,3-13,7-13,4-34,19-25,8-6,5-37,0-7,2-13,1-10,2-12,10-5,8-9,0-3
