Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Alaa Abdelnaby\abdelal01,PF,24,BOS,4,4,68,11,24,.458,0,0,,11,24,.458,.458,0,0,,2,11,13,1,0,1,9,7,22
2,Rafael Addison\addisra01,SF,28,NJN,5,0,53,7,21,.333,0,0,,7,21,.333,.333,3,3,1.000,3,3,6,5,3,0,3,3,17
3,Danny Ainge\aingeda01,SG,33,PHO,24,0,591,64,170,.376,33,80,.413,31,90,.344,.474,34,39,.872,20,40,60,56,12,2,22,61,195
4,Eric Anderson\anderer01,PF,22,NYK,2,0,6,1,2,.500,0,0,,1,2,.500,.500,0,0,,0,1,1,0,0,0,1,2,2
5,Willie Anderson\anderwi01,SG,26,SAS,10,0,219,37,82,.451,6,11,.545,31,71,.437,.488,15,17,.882,4,19,23,28,9,2,12,23,95
6,Greg Anthony\anthogr01,PG,25,NYK,15,0,240,24,60,.400,3,14,.214,21,46,.457,.425,8,14,.571,4,26,30,52,13,1,11,26,59
7,B.J. Armstrong\armstbj01,PG,25,CHI,19,19,643,88,168,.524,21,41,.512,67,127,.528,.586,20,22,.909,6,22,28,62,19,2,14,49,217
8,Vincent Askew\askewvi01,SG,26,SEA,12,0,103,23,41,.561,0,0,,23,41,.561,.561,16,23,.696,10,9,19,9,1,1,7,12,62
9,Stacey Augmon\augmost01,SG,24,ATL,3,3,93,14,31,.452,0,0,,14,31,.452,.452,8,12,.667,3,5,8,5,4,0,4,7,36
10,Isaac Austin\austiis01,C,23,UTA,1,0,3,1,2,.500,0,0,,1,2,.500,.500,0,0,,0,1,1,0,0,1,0,1,2
11,Charles Barkley*\barklch01,PF,29,PHO,24,24,1026,230,482,.477,10,45,.222,220,437,.503,.488,168,218,.771,93,233,326,102,39,25,50,73,638
12,Dana Barros\barroda01,PG,25,SEA,16,0,136,22,47,.468,5,16,.313,17,31,.548,.521,6,8,.750,0,12,12,12,5,0,8,6,55
13,John Battle\battljo01,SG,30,CLE,1,0,6,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,1,1,1,0,0,2,2,0
14,Tony Bennett\benneto01,PG,23,CHH,8,0,86,12,25,.480,4,8,.500,8,17,.471,.560,2,2,1.000,1,8,9,13,2,1,5,8,30
15,David Benoit\benoida01,SF,24,UTA,5,5,136,13,41,.317,2,9,.222,11,32,.344,.341,9,13,.692,7,17,24,5,3,6,2,17,37
16,Rolando Blackman\blackro01,SG,33,NYK,15,0,214,22,64,.344,4,15,.267,18,49,.367,.375,15,18,.833,4,13,17,16,3,2,21,22,63
17,Mookie Blaylock\blaylmo01,PG,25,ATL,3,3,99,9,25,.360,4,12,.333,5,13,.385,.440,5,6,.833,2,11,13,13,3,4,11,9,27
18,Muggsy Bogues\boguemu01,PG,28,CHH,9,9,346,39,82,.476,0,2,.000,39,80,.488,.476,10,14,.714,6,30,36,70,24,0,17,21,88
19,Sam Bowie\bowiesa01,C,31,NJN,3,3,71,4,9,.444,0,0,,4,9,.444,.444,2,2,1.000,2,10,12,2,6,1,4,9,10
